MIP_ID	Subspecies	Subspecies_MIP_paralog
0125	vulgaris	no data
0126	graecus	no paralog
0126	hybF2	no paralog
0126	montandoni	no data
0126	vulgaris	no data
0127	graecus	no paralog
0127	hybF2	no paralog
0127	montandoni	no data
0127	vulgaris	no data
0128	graecus	no data
0128	hybF2	no data
0128	montandoni	no data
0128	vulgaris	no data
0129	graecus	no data
0129	hybF2	no data
0129	montandoni	no data
0129	vulgaris	no data
0130	graecus	paralog
0130	hybF2	no paralog
0130	montandoni	no data
0130	vulgaris	no data
0131	graecus	no paralog
0131	hybF2	no paralog
0131	montandoni	no data
0131	vulgaris	no data
0132	graecus	no data
0132	hybF2	no data
0132	montandoni	no data
0132	vulgaris	no data
0133	graecus	no paralog
0133	hybF2	no paralog
0133	montandoni	no data
0133	vulgaris	no data
0134	graecus	no paralog
0134	hybF2	no paralog
0134	montandoni	no data
0134	vulgaris	no data
0135	graecus	no data
0135	hybF2	no data
0135	montandoni	no data
0135	vulgaris	no data
0136	graecus	no paralog
0136	hybF2	no paralog
0136	montandoni	no data
0136	vulgaris	no data
0137	graecus	no paralog
0137	hybF2	no paralog
0137	montandoni	no data
0137	vulgaris	no data
0138	graecus	no paralog
0138	hybF2	no paralog
0138	montandoni	no data
0138	vulgaris	no data
0139	graecus	no paralog
0139	hybF2	no paralog
0139	montandoni	no data
0139	vulgaris	no data
0140	graecus	no paralog
0140	hybF2	no paralog
0140	montandoni	no data
0140	vulgaris	no data
0141	graecus	no paralog
0141	hybF2	no paralog
0141	montandoni	no data
0141	vulgaris	no data
0142	graecus	no paralog
0142	hybF2	no paralog
0142	montandoni	no data
0142	vulgaris	no data
0143	graecus	no paralog
0143	hybF2	no paralog
0143	montandoni	no data
0143	vulgaris	no data
0144	graecus	no paralog
0144	hybF2	no paralog
0144	montandoni	no data
0144	vulgaris	no data
0145	graecus	no paralog
0145	hybF2	no paralog
0145	montandoni	no data
0145	vulgaris	no data
0146	graecus	no paralog
0146	hybF2	no paralog
0146	montandoni	no data
0146	vulgaris	no data
0147	graecus	no paralog
0147	hybF2	no paralog
0147	montandoni	no data
0147	vulgaris	no data
0148	graecus	no paralog
0148	hybF2	no paralog
0148	montandoni	no data
0148	vulgaris	no data
0149	graecus	no paralog
0149	hybF2	no paralog
0149	montandoni	no data
0149	vulgaris	no data
0150	graecus	paralog
0150	hybF2	no paralog
0150	montandoni	no data
0150	vulgaris	no data
0151	graecus	no paralog
0151	hybF2	no paralog
0151	montandoni	no data
0151	vulgaris	no data
0152	graecus	no paralog
0152	hybF2	no paralog
0152	montandoni	no data
0152	vulgaris	no data
0153	graecus	no paralog
0153	hybF2	no paralog
0153	montandoni	no data
0153	vulgaris	no data
0154	graecus	no paralog
0154	hybF2	no paralog
0154	montandoni	no data
0154	vulgaris	no data
0155	graecus	no paralog
0155	hybF2	no paralog
0155	montandoni	no data
0155	vulgaris	no data
0156	graecus	no paralog
0156	hybF2	no paralog
0156	montandoni	no data
0156	vulgaris	no data
0157	graecus	no paralog
0157	hybF2	no paralog
0157	montandoni	no data
0157	vulgaris	no data
0158	graecus	no paralog
0158	hybF2	no paralog
0158	montandoni	no data
0158	vulgaris	no data
0159	graecus	paralog
0159	hybF2	paralog
0159	montandoni	no data
0159	vulgaris	no data
0160	graecus	no paralog
0160	hybF2	no paralog
0160	montandoni	no data
0160	vulgaris	no data
0161	graecus	paralog
0161	hybF2	paralog
0161	montandoni	no data
0161	vulgaris	no data
0162	graecus	no paralog
0162	hybF2	no paralog
0162	montandoni	no data
0162	vulgaris	no data
0163	graecus	no data
0163	hybF2	no data
0163	montandoni	no data
0163	vulgaris	no data
0164	graecus	no paralog
0164	hybF2	no paralog
0164	montandoni	no data
0164	vulgaris	no data
0165	graecus	no paralog
0165	hybF2	no paralog
0165	montandoni	no data
0165	vulgaris	no data
0166	graecus	no paralog
0166	hybF2	paralog
0166	montandoni	no data
0166	vulgaris	no data
0167	graecus	no paralog
0167	hybF2	no paralog
0167	montandoni	no data
0167	vulgaris	no data
0168	graecus	no paralog
0168	hybF2	no paralog
0168	montandoni	no data
0168	vulgaris	no data
0169	graecus	no paralog
0169	hybF2	no paralog
0169	montandoni	no data
0169	vulgaris	no data
0170	graecus	no paralog
0170	hybF2	no paralog
0170	montandoni	no data
0170	vulgaris	no data
0171	graecus	no paralog
0171	hybF2	no paralog
0171	montandoni	no data
0171	vulgaris	no data
0172	graecus	no paralog
0172	hybF2	no paralog
0172	montandoni	no data
0172	vulgaris	no data
